LON,LAT,EDO,CLAVE,ESTACION,ago-23
-102.309722,21.895,AGS,AGSAG,"Aguascalientes, Ags.",113.4
-102.184167,21.738611,AGS,BRTAG,"San Bartolo, Ags.",39.7
-102.712222,21.849167,AGS,CALVILLO,"Calvillo, Ags. SMN*",66.53
-102.676944,21.9975,AGS,CDRAG,"La Codorniz, Ags.",80.41
-102.197222,22.007222,AGS,CHOAG,"Cañada Honda, Ags.",62.3
-102.189167,21.826667,AGS,CLVAG,"Calvillo, Ags.",65.62
-101.992222,21.897778,AGS,CNSAG,"Los Conos, Ags.",62.64
-102.296667,22.362778,AGS,CSOAG,"Cosío, Ags.",59.75
-102.356944,22.121667,AGS,JCQAG,"Jocoque, Ags.",74.4
-102.788333,21.8075,AGS,MNLAG,"Media Luna, Ags.",129.43
-102.371667,21.78,AGS,NGRAG,"El Niágara, Ags.",49.94
-102.001944,22.020556,AGS,NVLAG,"El Novillo, Ags.",34
-102.290556,21.850833,AGS,OBSAG,"Observatorio de Aguascalientes, Ags.",72.61
-102.465,22.189167,AGS,P50ANIV,"Presa Cincuenta Aniversario, Ags. SMN*",82.2
-101.966667,21.916667,AGS,PALAG,"Palo Alto, Ags.",44.51
-102.279167,22.147222,AGS,PBLAG,"Pabellón, Ags.",97.31
-102.417222,22.141111,AGS,PECAG,"Plutarco Elías Calles, Ags.",78.88
-102.135,22.202778,AGS,PTOAG,"Puerto de la Concepción, Ags.",62.73
-102.4375,22.235,AGS,PTRAG,"Derivadora Pabellón, Ags.",125.83
-102.108889,21.885,AGS,SNVAG,"Sandovales, Ags.",58
-102.0675,22.097778,AGS,VJZAG,"Villa Juárez, Ags.",31.81
-116.204167,32.271944,BC,AGHBN,"Agua Hechicera, B.C.",24.4
-116.908333,32.444722,BC,ALRBN,"Abelardo L. Rodríguez, B.C.",33.2
-114.719167,29.727222,BC,CATAVINA,"Cataviña, B.C. SMN*",39.15
-115.921667,32.042222,BC,CONST1857,"Constitución de 1857, B.C. SMN*",2.4
-116.696944,32.479444,BC,CRRBN,"El Carrizo, B.C.",41
-116.828333,32.468056,BC,EFLBN,"El Florido, B.C.",28.6
-116.6025,31.890278,BC,ELZBN,"Emilio López Zamora, B.C.",66.41
-115.931389,30.517222,BC,ENBBN,"San Quintín, B.C.",49.1
-115.15,32.411111,BC,ENLBN,"Observatorio de Ejido Nuevo León, B.C.",40.1
-116.302778,32.516389,BC,HNGBN,"El Hongo, B.C.",23.3
-115.1875,28.034444,BC,ISLACEDROSmar,"Isla Cedros, B.C. SEMAR*",40.65
-114.728056,32.705,BC,JMRBN,"Interconexión José María Morelos y Pavón, B.C.",14.12
-115.27,32.39,BC,MXCBN,"Mexicali, B.C.",36.33
-114.729444,32.703889,BC,PDMBN,"Presa derivadora Morelos, B.C.",14.13
-117.071389,32.3775,BC,PLAYAROSARITO,"Playa Rosarito, B.C. SMN*",6.2
-116.205556,32.272222,BC,RUMOROSA,"La Rumorosa, B.C. SMN*",19.67
-114.85,31.033333,BC,SFLBN,"Observatorio de San Felipe, B.C.",109.9
-116.661667,32.568611,BC,TECATE,"Tecate, B.C. SMN*",28.6
-111.663611,25.009722,BCS,CCNBS,"Observatorio de Ciudad Constitución, B.C.S.",57.5
-109.424444,23.445278,BCS,CPULMO,"Cabo Pulmo, B.C.S. SMN*",37.3
-109.925833,22.8975,BCS,CSLBS,"Cabo San Lucas, B.C.S.",82.04
-113.457778,27.643611,BCS,DORBS,"Díaz Ordaz, B.C.S.",35.51
-114.051944,27.963056,BCS,GNGBS,"Guerrero Negro, B.C.S.",49.2
-109.697222,23.680556,BCS,LBABS,"Los Barriles, B.C.S.",89.001
-110.366667,24.15,BCS,LPZBS,"Observatorio de La Paz, B.C.S.",71.62
-111.349167,26.011667,BCS,LRTBS,"Observatorio de Loreto, B.C.S.",46.231
-111.983056,26.896111,BCS,MLGBS,"Mulegé, B.C.S.",140.01
-111.829444,24.481111,BCS,PCORTESmar,"Puerto Cortés, B.C.S. SEMAR*",50.116
-109.934167,23.9675,BCS,PLNBS,"Los Planes, B.C.S.",35.01
-109.591389,23.593056,BCS,RBRBS,"La Ribera, B.C.S.",63.43
-110.059167,23.805,BCS,SANBS,"San Antonio, B.C.S.",172.532
-112.478611,26.2575,BCS,SANJUANICO,"San Juanico, B.C.S. SMN*",11.8
-109.995,24.083889,BCS,SARBS,"El Sargento, B.C.S.",84.02
-109.843889,23.738333,BCS,SBABS,"San Bartolo, B.C.S.",129.021
-109.708333,23.118889,BCS,SJCBS,"San José del Cabo, B.C.S.",53
-109.998611,23.555556,BCS,SLAGUNA,"Sierra La Laguna, B.C.S. SMN*",56.2
-112.223056,27.220833,BCS,SLCBS,"San Lucas, B.C.S.",326
-109.713611,23.490278,BCS,SNTBS,"Santiago, B.C.S.",83.71
-112.272778,27.337778,BCS,SRLBS,"Observatorio de Santa Rosalía, B.C.S.",243.301
-110.210556,23.478889,BCS,TSNBS,"Todos Santos, B.C.S.",46.01
-89.743889,20.003889,CAMP,BOLCA,"Bolonchén, Camp.",289.5
-90.575556,19.295,CAMP,CANCA,"Canasayab, Camp.",482.83
-91.761389,18.654167,CAMP,CARCA,"El Carmen, Camp.",99.13
-91.962778,20.203889,CAMP,CAYOARCASmar,"Cayo Arcas, Camp. SEMAR*",13.716
-90.72,19.361667,CAMP,CHMCA,"Champotón, Camp.",292.51
-90.544167,19.838333,CAMP,CMPCA,"Campeche, Camp.",347
-91.046111,18.183056,CAMP,CNDCA,"Candelaria, Camp.",182.24
-90.507222,19.838611,CAMP,COBCA,"Observatorio de Campeche, Camp.",284.31
-90.741111,18.604444,CAMP,ESCCA,"Escárcega, Camp.",219.3
-90.105556,20.184167,CAMP,HECCA,"Hecelchakán, Camp.",278
-89.848333,19.751944,CAMP,HPOCA,"Hopelchen, Camp.",155.1
-90.820833,18.056944,CAMP,MONCLOVACAMP,"Monclova, Camp. SMN*",144.4
-90.221389,19.605833,CAMP,NYXCA,"Noh-Yaxché, Camp.",250.1
-92.086944,18.253056,CAMP,PLZCA,"Palizada, Camp.",172
-91.175833,18.972778,CAMP,SBNCA,"Sabancuy, Camp.",205.5
-89.860278,19.664444,CAMP,XCPCA,"Xcupil, Camp.",132.33
-89.396111,18.502222,CAMP,XPJCA,"Xpujil, Camp.",183.5
-107.482778,28.481667,CHIH,AGZCH,"Abraham González, Chih.",71
-107.9,27.9,CHIH,BTVCH,"Batovira, Chih.",59.74
-107.930833,30.376667,CHIH,CAGCH,"Observatorio de Nuevo Casas Grandes, Chih.",38.63
-106.84,28.396667,CHIH,CDCUAUHTEMOC,"Ciudad Cuauhtémoc, Chih. SMN*",77.8
-105.446944,28.210833,CHIH,CDLCH,"Ciudad Delicias, Chih.",23.53
-106.770556,26.229444,CHIH,CHNCH,"Chinatú, Chih. SMN*",92.45
-106.400278,31.736667,CHIH,CJZCH,"Ciudad Juárez, Chih.",26.02
-105.381667,27.410278,CHIH,CL2CH,"Colina hidrométrica, Chih.",15.71
-108.541667,27.416667,CHIH,CNDCH,"Chínipas, Chih.",92.78
-107.633333,27.75,CHIH,CRLCH,"Creel, Chih.",30.74
-105.628889,28.166111,CHIH,FIMCH,"Francisco I. Madero, Chih.",15.02
-107.072222,26.816667,CHIH,GCCCH,"Guachochi, Chih. SMN*",64.2
-108.3,29.2,CHIH,GPCCH,"Guapoca, Chih.",211.6
-105.277778,28.994722,CHIH,HGRANERO,"El Granero hidrométrica, Chih. SGT*",4.75
-107.879167,26.870833,CHIH,IGNCH,"San Ignacio, Chih.",90
-108.427222,30.838889,CHIH,JANOS,"Janos, Chih. SMN*",24
-105.414167,27.544722,CHIH,LBQCH,"La Boquilla, Chih.",45.03
-107.025833,29.88,CHIH,LJSCH,"Las Lajas, Chih.",43.5
-105.28,28.984444,CHIH,LLNCH,"Ing. Luis L. León, Chih.",9.53
-107.994167,27.858611,CHIH,MAGCH,"Maguarichi, Chih. SMN*",16
-106.486111,28.803333,CHIH,MAJALCA,"Cumbres de Majalca, Chih. SMN*",90.8
-104.43,29.583333,CHIH,OJINAGAC,"Ojinaga Río Conchos, Chih. CILA*",12.25
-104.410833,29.565,CHIH,OJNCH,"Ojinaga, Chih.",20.01
-105.254167,26.546389,CHIH,PAGCH,"Pico del Águila, Chih.",8.56
-104.74,29.5,CHIH,PEGUIS,"Peguis, Chih. SGT*",5.75
-105.675556,26.917778,CHIH,PRRCH,"Observatorio de Parral, Chih.",52.12
-106.085556,28.656944,CHIH,QIJCH,"Observatorio de Chihuahua, Chih.",96.4
-107.85,28.95,CHIH,TMCCH,"Observatorio de Temósachic, Chih.",47.81
-107.384167,29.5625,CHIH,TNTCH,"El Tintero, Chih.",69.53
-107.9125,27.216667,CHIH,URECH,"Urique, Chih.",115.72
-92.804167,16.552778,CHIS,ACACP,"Acala, Chis.",129.4
-92.034722,16.737778,CHIS,ALTAMIRANO,"Altamirano, Chis. SGT*",212
-92.778889,16.401389,CHIS,ANGCP,"Doctor Belisario Domínguez, Chis.",257.6
-93.8975,16.241111,CHIS,AROCP,"Observatorio de Arriaga, Chis.",349.9
-93.427222,17.253611,CHIS,AZAPACCFE,"Aza-Pac, Chis. CFE*",133.8
-92.905833,16.997222,CHIS,BOCHIL,"Bochil, Chis. SGT*",136.6
-93.026389,16.9525,CHIS,BOMBANA,"Bombana, Chis. SGT*",125.1
-93.15,16.641944,CHIS,BOQCP,"Boquerón, Chis.",150.7
-92.716667,15.35,CHIS,CACCP,"Cacaluta, Chis.",565.46
-92.479167,16.308333,CHIS,CASCP,"Cascajal, Chis.",147.54
-92.483056,15.969167,CHIS,CATARINITAS,"Catarinitas, Chis. SGT*",115.4
-91.949722,17.85,CHIS,CATAZAJA,"Catazajá, Chis. SGT*",392.5
-93.100556,16.941667,CHIS,CHICP,"Manuel Moreno Torres, Chis.",143.42
-92.283333,15.75,CHIS,CHMCP,"Chicomuselo, Chis.",295.55
-92.1,16.2,CHIS,COOCP,"Observatorio de Comitán, Chis.",112.6
-93.906111,16.2425,CHIS,CREDARRIAGA,"Cred Arriaga, Chis. SMN*",273.5
-92.113056,15.435833,CHIS,CUILCOCFE,"Cuilco, Chis. CFE*",119.9
-92.965278,15.727778,CHIS,CUXTEPEQUES,"Finca Cuxtepeques, Chis. SGT*",391.8
-92.575,15.204167,CHIS,DESCP,"Despoblado, Chis.",398
-92.925278,16.108333,CHIS,DORADOCFE,"El Dorado, Chis. CFE*",295.9
-92.590833,16.686111,CHIS,ELAGUAJE,"El Aguaje, Chis. SGT*",126
-92.584722,16.725833,CHIS,ELARCOTETE,"El Arcotete, Chis. SGT*",189
-92.95,15.495833,CHIS,ELNCP,"El Novillero, Chis.",199
-92.808056,15.656667,CHIS,ELTRIUNFO,"El Triunfo, Chis. SMN*",306.8
-92.829444,17.373056,CHIS,ESCALONCP,"El Escalón, Chis. SGT*",454.3
-92.666667,15.316667,CHIS,ESCCP,"Escuintla, Chis.",233.6
-93.342222,17.216667,CHIS,EZAPATACFE,"Emiliano Zapata, Chis. CFE*",235.4
-92.299167,15.126667,CHIS,FARCP,"Finca Argovia, Chis.",401.3
-92.325278,15.173889,CHIS,FHACP,"Finca Hamburgo, Chis.",525.7
-92.476111,15.346667,CHIS,FPZCP,"Finca la Paz, Chis.",334.1
-92.362778,15.184444,CHIS,FSCCP,"Finca San Cristóbal, Chis.",442.8
-93.125,16.975,CHIS,GRICP,"Grijalva, Chis.",89.4
-92.402778,14.997222,CHIS,HUECP,"Huehuetán, Chis.",324.7
-92.472222,15.133333,CHIS,HUICP,"Huixtla, Chis.",356.6
-92.725,15.866667,CHIS,JAPCP,"Jaltenango, Chis.",298.26
-93.381389,17.364167,CHIS,JDGCP,"Juan de Grijalva, Chis.",389
-93.381389,17.364167,CHIS,JGRIJALVACFE,"Túneles Juan de Grijalva, Chis. CFE*",381.2
-92.898611,15.996389,CHIS,JSBCP,"Juan Sabines, Chis.",429.6
-90.702222,16.580833,CHIS,LACCP,"Lacantún, Chis.",52
-93.561111,16.695833,CHIS,LFLCP,"Las Flores, Chis.",100.2
-91.73,16.114444,CHIS,LMONTEBELLO,"Lagunas de Montebello, Chis. SMN*",188.2
-93.598889,17.178611,CHIS,MALCP,"Nezahualcóyotl, Chis.",121.71
-92.883333,15.45,CHIS,MAPCP,"Mapastepec, Chis.",453.5
-93.384444,16.0675,CHIS,MONTERREYCFE,"Monterrey, Chis. CFE*",144.5
-92.2675,15.333333,CHIS,MOTOZINTLA,"Motozintla, Chis. SGT*",136.8
-93.150556,17.220556,CHIS,OCOCP,"Ocotepec, Chis.",338.4
-91.968056,15.848611,CHIS,PCOCP,"Puente Concordia, Chis.",140
-93.458611,17.446111,CHIS,PENCP,"Ángel Albino Corzo, Chis.",263.5
-93.216667,15.691667,CHIS,PIJCP,"Pijijiapan, Chis.",190
-92.794167,15.714444,CHIS,PRUSIA,"Prusia, Chis. SGT*",602
-92.649167,16.725278,CHIS,PTEMORELOS,"Puente Morelos, Chis. SGT*",113
-92.618056,16.7475,CHIS,QUIOSCO,"Quiosco, Chis. SGT*",115.3
-92.666667,15.916667,CHIS,REFCP,"Reforma, Chis.",275.9
-93.079167,16.158333,CHIS,REVCP,"Revolución Mexicana, Chis.",260.4
-92.35,17.566667,CHIS,SAACP,"Salto de Agua, Chis.",397.2
-93.383333,17.425,CHIS,SAYCP,"Sayula, Chis.",436.21
-92.603056,16.727222,CHIS,SCCASASCFE,"San Cristóbal de las Casas, Chis. CFE*",127.1
-92.633333,16.733333,CHIS,SCOCP,"Observatorio de San Cristóbal, Chis.",120.6
-92.616667,16.741667,CHIS,SCRCP,"Puente Morelos, Chis.",85
-93.056389,16.4525,CHIS,SDOCP,"Santo Domingo, Chis.",204
-92.951389,15.872778,CHIS,SFRANCISCOII,"San Francisco 2, Chis. SGT*",125
-93.085,17.561111,CHIS,SJOCP,"San Joaquín, Chis.",170.4
-92.239444,15.775,CHIS,SMICP,"San Miguel, Chis.",266.6
-93.591111,16.152222,CHIS,SMORENACFE,"Sierra Morena, Chis. CFE*",101.3
