"ID_VIV","ID_PER","UPM","VIV_SEL","R_SEL","CVE_ENT","NOM_ENT","CVE_MUN","NOM_MUN","COD_RES","P4_1","P4_2_01","P4_2_02","P4_2_03","P4_2_04","P4_2_05","P4_2_06","P4_2_07","P4_2_08","P4_2_09","P4_2_10","P4_2_11","P4_2_12","P4_2_13","P4_2_14","P4_2_15","P4_2_16","P5_1","P5_2","P5_3","P5_4","P5_5","P5_6","P5_7","P5_8","P5_9","P5_10","P5_11","P5_12","P5_13","P5_14","P5_15","P5_16","P5_17","P5_18","P5_19","P5_20","P5_21","P6_1","P6_2","P6_3","P6_4","P6_5","P6_6","P6_7_1","P6_7_2","P6_7_3","P6_7_4","P6_7_5","P6_7_6","P6_7_7","P6_7_8","P6_7_9","P7_1_01","P7_1_02","P7_1_03","P7_1_04","P7_1_05","P7_1_06","P7_1_07","P7_1_08","P7_1_09","P7_1_10","P7_1_11","P7_1_12","P7_1_13","P7_1_14","P7_1_14E","P7_1_15","P7_1_99","P7_2","P7_3","P7_4","P8_1","P8_2","P8_3_01","P8_3_02","P8_3_03","P8_3_04","P8_3_05","P8_3_06","P8_3_07","P8_3_08","P8_3_09","P8_3_10","P8_3_11","P8_3_12","P8_3_13","P8_3_14","P8_3_15","P8_3_15E","P8_4_01","P8_4_04","P8_4_06","P8_4_13","P8_4_14","P8_5_01","P8_5_02","P8_5_03","P8_5_04","P8_5_05","P8_5_06","P8_5_07","P8_5_08","P8_5_09","P8_5_10","P8_5_11","P8_5_12","P8_5_13","P8_5_14","P8_5_15","P8_5_15E","P8_6_1","P8_6_2","P8_6_3","P8_6_4","P8_6_5","P8_6_6","P8_6_7","P8_6_8","P8_6_9","P8_7","P8_8","P8_9","P9_1","P9_2","P9_3","P9_4","P9_5","P9_6","P9_7","P9_7E","P9_8_1","P9_8_2","P9_8_3","P9_8_4","P9_8_5","P9_8_6","P9_8_7","P9_8_8","P9_9","P9_10_1","P9_10_2","P9_10_3","P9_10_4","P9_10_5","P9_11_1","P9_11_2","P9_11_3","P9_11_4","P9_12_01","P9_12_02","P9_12_03","P9_12_04","P9_12_05","P9_12_06","P9_12_07","P9_12_08","P9_12_09","P9_12_98","P9_12_99","FAC_SEL","DOMINIO","UPM_DIS","EST_DIS"
"0100590.04","0100590.04.03","0100590","04","03","01","AGUASCALIENTES","001","AGUASCALIENTES","01","07","07","08","08","07","08","05","05","07","08","08","09","08","06","05","07","06","08","08","06","07","08","08","06","08","06","10","10","07","08","06","08","07","06","05","08","06","05","06","04","07","2","2","1","09","09","08","09","09","09","09","10","09","1","0","0","1","0","0","0","0","1","0","0","0","0","0","","0","0","04","05","06","00","06","1","2","2","2","2","1","2","2","2","2","2","2","2","2","2","","","4","","1","4","2","3","2","3","4","3","4","3","2","4","4","4","3","2","","","1","0","0","1","0","0","0","0","0","1","1","","1","","3","2","2","05","0013000","TRECE MIL","0","0","0","0","0","0","0","1","2","06","08","06","06","05","1","2","2","2","0","1","0","1","1","1","0","0","0","0","0","17607.1103637909","U","0003","0003"
"0100590.05","0100590.05.01","0100590","05","01","01","AGUASCALIENTES","001","AGUASCALIENTES","01","00","06","00","00","00","00","00","06","03","03","03","03","04","03","02","00","04","05","05","05","05","05","04","02","05","06","10","10","07","07","06","06","06","06","06","06","06","06","07","02","05","2","2","1","09","09","09","09","09","09","09","09","09","0","0","0","1","1","1","0","0","0","0","0","0","0","0","","0","0","07","06","06","00","06","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","","","4","3","4","4","3","1","1","1","1","3","1","1","1","1","1","1","1","1","","","0","0","0","1","0","0","0","0","0","1","1","","1","","4","2","1","99","9999997","NO RESPONDE","0","0","1","0","0","0","0","0","3","99","99","99","99","99","4","4","4","4","0","1","0","0","1","0","0","0","0","0","0","11738.0735758606","U","0003","0003"
"0100822.01","0100822.01.02","0100822","01","02","01","AGUASCALIENTES","001","AGUASCALIENTES","01","07","04","07","07","04","04","03","03","01","01","03","07","07","06","06","07","07","06","06","07","06","07","06","07","05","03","06","06","07","07","08","09","07","06","06","07","06","03","07","04","09","2","2","2","","","","","","","","","","0","0","0","1","0","0","0","0","1","0","1","0","0","0","","0","0","06","07","05","04","07","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","","1","4","4","4","4","3","3","2","2","3","2","2","2","2","2","3","3","2","1","","","1","1","0","0","0","0","0","1","0","9","","","1","","2","2","2","05","0015000","QUINCE MIL","0","0","0","0","0","0","0","1","2","06","02","05","05","03","2","1","2","1","0","1","0","0","0","0","0","0","0","0","0","13324.1255607801","U","0004","0002"
"0100822.03","0100822.03.01","0100822","03","01","01","AGUASCALIENTES","001","AGUASCALIENTES","01","05","09","05","05","05","05","00","00","00","00","05","05","05","99","07","07","04","02","05","00","99","05","00","07","99","08","10","10","05","08","08","07","00","05","05","05","07","07","99","08","08","2","1","1","10","10","10","08","08","10","10","10","10","1","1","0","1","0","0","0","0","0","0","0","0","0","0","","0","0","98","05","05","04","07","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","","","4","4","4","4","4","2","1","2","2","2","1","1","1","1","2","3","1","1","","","1","0","0","0","0","0","0","1","0","1","1","","1","","1","2","2","01","0000300","TRESCIENTOS","0","0","1","0","0","0","0","0","3","99","99","99","99","99","2","2","2","1","0","0","0","0","0","1","0","0","0","0","0","6662.06278039","U","0004","0002"
"0100822.04","0100822.04.01","0100822","04","01","01","AGUASCALIENTES","001","AGUASCALIENTES","01","05","05","05","03","05","00","05","05","02","02","07","07","07","05","05","05","05","00","05","00","05","05","08","05","07","07","08","08","05","08","00","09","00","05","00","05","05","07","08","05","05","2","1","2","","","","","","","","","","1","0","0","1","0","0","0","0","1","0","0","0","0","0","","0","0","98","05","05","05","05","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","","4","4","4","4","4","2","2","2","2","2","2","1","1","1","1","2","2","2","2","","","0","0","0","0","0","0","0","1","0","2","","2","1","","1","2","1","01","0004000","CUATRO MIL","0","0","0","0","0","0","0","1","3","99","99","99","99","99","3","3","3","3","0","0","0","0","0","1","0","0","0","0","0","13324.1255607801","U","0004","0002"
"0100822.05","0100822.05.02","0100822","05","02","01","AGUASCALIENTES","001","AGUASCALIENTES","01","00","10","05","05","10","05","05","10","05","00","09","05","05","10","05","08","10","00","05","09","09","08","10","07","07","10","10","10","08","10","09","10","10","09","02","09","10","08","06","00","08","2","1","1","10","10","10","10","10","10","10","10","10","0","1","0","1","0","0","1","0","0","0","0","0","0","0","","0","0","09","09","09","05","08","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","","","1","1","4","4","4","2","2","2","2","3","2","1","1","1","2","3","1","2","","","1","1","0","0","0","0","0","1","0","1","1","","1","","2","2","2","01","0005000","CINCO MIL","0","0","1","0","0","0","0","0","3","99","99","99","99","99","1","1","1","1","0","0","0","0","0","1","0","0","0","0","0","19986.1883411701","U","0004","0002"
"0100835.01","0100835.01.01","0100835","01","01","01","AGUASCALIENTES","001","AGUASCALIENTES","01","02","04","04","04","00","02","00","05","03","03","02","04","03","02","07","05","03","03","02","01","01","00","06","00","03","02","08","09","00","09","02","05","00","00","00","00","00","00","08","06","06","2","1","1","04","04","05","06","06","09","04","04","10","1","0","0","1","0","0","0","0","1","0","0","0","0","0","","0","0","02","02","02","08","02","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","","2","4","4","2","4","2","1","1","2","2","2","1","1","2","1","2","1","1","1","","","1","0","1","0","1","1","1","1","0","2","","2","1","","4","1","1","06","0017500","DIECISIETE MIL QUINIENTOS","0","0","0","0","0","0","0","1","1","08","06","06","07","04","1","2","2","2","0","0","0","1","1","1","0","1","0","0","0","13180.9869375515","U","0440","0001"
"0100835.02","0100835.02.01","0100835","02","01","01","AGUASCALIENTES","001","AGUASCALIENTES","01","09","08","05","05","07","05","07","07","07","08","08","06","06","08","05","07","09","07","07","99","08","07","09","08","08","08","08","08","09","05","08","08","04","06","04","05","08","07","07","06","08","2","1","1","08","08","08","08","07","06","07","98","08","0","0","1","1","0","0","0","0","1","0","0","0","0","0","","0","0","08","08","08","08","08","1","1","2","2","2","1","2","1","1","2","1","2","2","2","2","","","1","","8","3","3","1","1","1","1","1","3","1","3","1","3","1","1","1","","","0","1","0","1","1","0","0","1","0","1","1","","1","","3","1","1","01","0003000","TRES MIL","0","0","0","0","1","0","0","0","3","07","07","05","07","07","2","2","2","2","0","1","0","1","0","0","0","1","0","0","0","6590.4934687758","U","0440","0001"
"0100835.03","0100835.03.02","0100835","03","02","01","AGUASCALIENTES","001","AGUASCALIENTES","01","08","03","03","03","02","01","00","00","00","00","00","00","00","00","05","05","00","03","04","02","00","00","01","00","01","00","10","09","00","09","04","07","00","00","00","01","01","00","00","00","02","2","1","1","03","01","00","00","01","01","00","01","03","0","1","0","1","0","0","0","0","1","0","0","0","0","0","","0","0","01","00","00","07","00","1","2","2","1","2","1","1","1","1","2","1","2","2","2","2","","","","","4","4","1","1","2","3","1","3","3","3","1","1","3","3","3","1","","","1","0","0","0","1","0","0","1","0","1","2","","1","","1","2","2","08","0050000","CINCUENTA MIL","0","0","0","0","0","0","0","1","1","00","00","00","00","00","1","1","2","2","0","1","1","1","0","1","0","0","0","0","0","19771.4804063273","U","0440","0001"
"0100835.05","0100835.05.02","0100835","05","02","01","AGUASCALIENTES","001","AGUASCALIENTES","01","06","04","04","04","02","02","00","03","05","05","05","05","05","05","02","06","07","06","04","03","05","05","05","06","06","06","08","08","06","05","06","07","05","04","03","05","05","03","04","03","07","2","1","2","","","","","","","","","","0","1","0","1","0","0","0","0","1","0","0","0","0","0","","0","0","05","05","05","05","04","1","2","1","2","2","2","2","2","2","2","2","2","2","2","2","","","4","4","1","4","3","1","1","1","2","3","3","1","1","3","4","4","1","1","","","1","1","0","0","0","0","0","1","0","1","2","","1","","2","2","2","08","0030000","TREINTA MIL","0","0","0","0","0","0","0","1","2","08","09","05","06","04","2","2","3","2","0","1","0","0","0","0","0","0","0","0","0","13180.9869375515","U","0440","0001"
"0101087.01","0101087.01.03","0101087","01","03","01","AGUASCALIENTES","001","AGUASCALIENTES","01","06","06","06","06","04","07","05","07","07","07","06","06","07","07","08","08","07","08","05","06","07","06","05","08","04","04","09","09","07","07","07","08","04","06","04","07","04","08","07","05","06","1","1","2","","","","","","","","","","1","0","1","0","0","0","0","0","0","1","0","0","0","0","","0","0","06","07","06","03","04","1","2","2","2","2","2","2","2","2","2","2","2","2","2","1","PARTICIPAR EN FUNCIONARIO DE CASILLA","","4","4","4","4","4","3","1","3","2","4","3","2","2","4","3","3","3","3","","","0","1","0","1","0","1","0","0","0","2","","1","1","","2","2","2","07","0020000","VEINTE MIL","0","0","0","0","0","0","1","0","2","07","07","08","06","08","1","2","2","1","0","1","0","0","1","1","0","0","0","0","0","16500.2790168023","U","0005","0002"
"0101087.02","0101087.02.04","0101087","02","04","01","AGUASCALIENTES","001","AGUASCALIENTES","01","08","05","03","02","05","05","03","03","03","01","03","04","02","02","05","05","04","05","03","08","05","03","03","04","04","02","10","10","04","08","05","05","03","01","03","05","02","02","06","02","03","2","1","1","03","03","04","05","04","10","06","08","05","0","0","0","1","0","0","1","0","1","0","0","0","0","0","","0","0","04","04","04","06","03","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","","1","4","1","4","2","2","3","1","1","1","2","1","1","3","3","1","1","3","1","","","1","1","1","1","1","1","1","0","0","1","2","","1","","2","2","2","04","0012000","DOCE MIL","1","0","0","0","0","0","0","0","1","05","05","03","02","04","2","2","3","4","0","1","1","0","0","0","0","0","0","0","0","22000.372022403","U","0005","0002"
"0101087.03","0101087.03.01","0101087","03","01","01","AGUASCALIENTES","001","AGUASCALIENTES","01","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","00","05","00","00","00","08","08","07","08","10","10","07","08","99","05","07","00","08","00","99","07","07","06","08","2","1","2","","","","","","","","","","1","0","0","0","0","0","0","0","1","0","0","0","1","0","","0","0","98","99","00","05","00","1","2","2","2","2","2","2","2","2","2","2","2","2","2","2","","","4","4","4","4","8","8","8","8","8","8","8","8","8","8","8","8","8","8","","","0","0","0","0","0","0","0","1","0","1","1","","1","","1","2","2","99","9999997","NO RESPONDE","0","0","0","0","0","0","0","1","3","99","99","99","99","99","2","3","3","2","0","0","0","0","0","1","0","0","0","0","0","5500.0930056008","U","0005","0002"
"0101087.04","0101087.04.01","0101087","04","01","01","AGUASCALIENTES","001","AGUASCALIENTES","01","07","07","06","06","06","06","06","08","08","08","06","06","06","07","06","08","08","06","07","07","07","07","08","08","07","06","05","08","06","07","07","09","06","06","06","06","06","07","05","06","06","2","2","1","07","07","08","08","09","08","08","08","08","1","0","0","1","0","0","0","1","0","0","0","0","0","0","","0","0","05","06","06","04","06","1","2","2","2","2","1","2","2","2","2","2","2","2","2","2","","","4","","2","1","3","4","3","3","2","3","2","2","1","2","4","2","3","3","","","1","0","0","1","0","0","0","1","0","1","2","","1","","2","2","1","06","0016000","DIECISEIS MIL","0","0","0","0","0","0","0","1","2","04","04","04","04","04","1","1","1","1","0","1","0","0","1","1","0","0","0","0","0","11000.1860112015","U","0005","0002"
"0101087.05","0101087.05.02","0101087","05","02","01","AGUASCALIENTES","001","AGUASCALIENTES","01","10","08","08","07","07","07","07","08","08","08","07","07","06","06","07","08","07","05","06","06","06","08","08","08","07","05","10","10","08","08","05","05","07","05","03","03","05","05","07","07","07","1","1","2","","","","","","","","","","1","0","0","1","0","0","0","0","1","0","0","0","0","0","","0","0","07","08","08","09","06","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","","1","3","3","3","2","1","2","3","3","3","2","2","1","1","2","2","3","2","2","","","0","1","0","0","0","0","0","1","0","2","","1","1","","2","1","2","02","0007500","SIETE MIL QUINIENTOS","0","0","0","0","0","0","0","1","2","05","05","05","05","05","2","3","3","1","0","1","0","0","0","0","0","0","0","0","0","11000.1860112015","U","0005","0002"
"0101214.01","0101214.01.02","0101214","01","02","01","AGUASCALIENTES","001","AGUASCALIENTES","01","08","06","09","09","06","08","00","08","08","07","10","08","08","07","00","00","07","05","05","07","00","05","05","03","03","03","10","10","05","06","08","07","03","02","02","02","02","02","04","03","03","2","1","1","04","03","02","03","04","03","04","06","04","1","0","0","1","0","0","1","0","0","0","0","0","0","0","","0","0","00","00","02","09","00","2","1","2","2","2","2","2","2","1","2","1","2","2","2","2","","1","1","1","1","1","4","4","1","1","1","1","1","1","1","1","2","2","2","2","","","1","0","0","0","1","0","0","1","0","1","2","","1","","1","2","2","08","0023000","VEINTITRES MIL","0","1","0","0","1","0","0","0","1","06","08","00","05","04","1","2","1","1","1","1","1","0","0","0","0","0","0","0","0","12898.8316137102","U","0006","0003"
"0101214.02","0101214.02.02","0101214","02","02","01","AGUASCALIENTES","001","AGUASCALIENTES","01","10","00","00","00","00","00","00","07","09","07","07","08","08","10","10","06","10","08","08","09","10","08","09","08","07","07","10","09","07","10","08","08","07","08","07","05","07","07","10","08","10","1","1","2","","","","","","","","","","1","0","0","1","0","0","1","0","0","0","0","0","0","0","","0","0","05","07","07","08","05","1","1","2","2","2","1","2","2","2","2","2","2","2","2","2","","","3","","1","1","3","1","1","1","1","3","1","1","1","1","3","1","1","2","","","1","1","0","0","1","0","0","0","0","1","1","","1","","2","2","2","03","0010000","DIEZ MIL","0","0","0","0","0","0","0","1","2","08","06","09","07","06","2","3","3","4","0","0","0","0","1","1","0","0","0","0","0","21498.052689517","U","0006","0003"
"0101214.03","0101214.03.01","0101214","03","01","01","AGUASCALIENTES","001","AGUASCALIENTES","01","06","08","02","03","04","04","04","08","05","04","08","05","04","06","05","07","08","07","06","05","07","05","05","04","05","05","10","10","05","06","04","04","06","04","06","02","02","02","02","02","05","2","1","1","07","07","05","06","07","04","05","05","05","0","0","0","1","0","0","0","0","1","1","0","0","0","0","","0","0","05","05","06","03","04","1","2","2","1","2","1","2","2","2","2","2","2","2","2","2","","","","","4","3","1","1","1","1","1","1","1","1","1","1","1","1","1","1","","","0","0","0","0","0","0","0","1","0","1","1","","1","","2","2","1","07","0020000","VEINTE MIL","0","0","0","0","0","0","0","1","1","08","08","05","05","05","3","2","3","2","0","1","1","0","1","0","0","0","0","0","0","8599.2210758068","U","0006","0003"
"0101214.04","0101214.04.03","0101214","04","03","01","AGUASCALIENTES","001","AGUASCALIENTES","01","05","03","03","03","02","02","00","00","00","00","00","00","00","05","00","05","08","05","05","02","04","05","05","03","06","05","10","10","05","10","05","05","00","00","00","05","04","00","00","04","05","2","1","1","05","06","00","04","05","00","00","06","06","0","0","0","1","0","0","0","0","1","0","0","0","1","0","","0","0","00","00","07","10","05","1","2","1","2","2","2","2","1","2","2","2","2","2","1","2","","","3","2","1","","3","3","3","4","4","3","4","2","3","1","4","1","4","4","","","1","1","0","0","0","0","0","1","0","1","1","","1","","4","2","1","08","0030000","TREINTA MIL","0","0","0","0","0","0","0","1","1","05","00","00","00","00","3","2","4","4","1","1","0","0","0","0","0","0","0","0","0","17198.4421516136","U","0006","0003"
"0101214.05","0101214.05.01","0101214","05","01","01","AGUASCALIENTES","001","AGUASCALIENTES","01","08","07","08","08","06","06","05","05","06","06","06","06","06","07","07","08","07","08","08","08","07","07","08","07","07","07","06","08","06","05","06","07","07","07","06","06","06","06","07","07","07","1","1","2","","","","","","","","","","0","0","0","1","0","0","0","0","1","0","1","0","0","0","","0","0","08","08","07","07","07","1","2","2","2","2","2","2","1","1","1","2","2","2","2","2","","","4","4","4","4","4","4","3","3","1","4","1","4","4","4","1","1","1","1","","","1","0","1","0","0","0","0","1","0","1","1","","1","","2","2","1","05","0014000","CATORCE MIL","1","0","0","0","0","0","0","0","2","08","08","08","08","08","2","2","2","2","0","1","0","0","1","1","0","0","0","0","0","12898.8316137102","U","0006","0003"
